Location,Country,Temperature,CO2 Emissions,Sea Level Rise,Precipitation,Humidity,Wind Speed
Adamsburgh,Grenada,15.5232771,383.3081089,-0.301147689,38.51069364,3.858910665,41.72619847
West Elizabeth,Solomon Islands,22.30119196,409.6954417,-0.261380051,32.12361734,77.65422466,25.39474526
New Morgan,Belgium,6.914509617,294.850386,-0.170736128,3.266338475,2.860506732,9.104948577
Lake Carrie,Guinea,16.66729216,344.0529346,1.805269313,45.74384653,63.23435632,8.67535584
Williamsborough,Saint Barthelemy,13.01839692,531.8947447,1.04333599,71.52596033,67.561428,48.48576417
Port Shawn,Zambia,14.22647846,431.376461,-1.197671256,95.37399184,35.56195035,27.86151775
East Scott,Montserrat,6.704282033,430.6804621,-0.244090867,88.20454073,21.34876924,21.93303172
West Timothy,Tajikistan,15.87994404,440.5472715,0.35808114,56.41596748,98.69509894,19.25320023
New Thomas,Mozambique,17.14793618,414.4752589,-0.046996248,20.81550365,39.21536183,15.9886259
Lake Joseph,Moldova,16.50984917,419.5655177,-0.461855506,4.069700663,53.25528642,7.850485787
New Laura,Poland,14.59637497,381.16283,0.836730648,2.983404255,43.78253017,3.435776536
Kaylaville,Comoros,12.50895199,473.6573011,-0.2684827,88.98932163,74.05396287,36.74611327
